Loan ID,Year,Project Name,Loan (USD M),Country,Region,Borrower,Lender,Lender Type,Sector,Source 1,Source 2
SL.038,2019,"National Fiber Optic Backbone Project, Phase 2",30.00,Sierra Leone,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://mof.gov.sl/wp-content/uploads/2019/11/FY-2020-Budget-Speech-and-Profile-1.pdf,https://mof.gov.sl/wp-content/uploads/2020/12/Budget-Transparency-2021-16-11-20__Publication_FY2021.pdf
SN.007,2012,"E-government Project, Phase 2",47.01,Senegal,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
SN.008,2015,National Broadband,85.07,Senegal,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
SN.022,2018,Smart Senegal Broadband Project,150.00,Senegal,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
SN.027,2021,Diamniadio Data Centre Restructuring,147.85,Senegal,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
TD.012,2019,"National Information and Communication Technologies (NTIC), Modernization",188.43,Chad,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
TZ.001,2013,"National ICT Backbone Project (NICTBB), Phase 3 Stage 1",93.77,Tanzania,EA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
UG.013,2015,National Backbone Data Transmission Project III,15.41,Uganda,EA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.030,2015,"Smart Zambia National ICT Development Project, Phase 1",65.55,Zambia,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.056,2014,ZTE Take-over of Libya Lap Green's loans to Zamtel,103.00,Zambia,SA,National Government,Zhongxing Telecommunication Equipment Corporation (ZTE),Contractors,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.057,2017,"Communication Towers Project(Smart Zambia/Zambia ICT Project), Phase 2",265.38,Zambia,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.059,2015,"Digital Migration, Phases 2,3 (Eximbank Loan)",192.74,Zambia,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.120,2017,Digital Migration Phase II and III - StarTimes Portion,41.00,Zambia,SA,National Government,StarTimes Group (StarTimes),Contractors,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZM.146,2013,ZICTA Telecommunication Towers Phase I,13.50,Zambia,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZW.023,2014,"NetOne Telecom Network, Expansion, Phase 2",221.50,Zimbabwe,SA,NetOne Cellular Private Limited (NetOne) (SOE),CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZW.065,2015,TelOne Backbone Optic Fibre Network; Core and Access Network Modernisation Project,98.60,Zimbabwe,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
ZW.079,2019,"NetOne Telecom Network Expansion, Phase 3",71.00,Zimbabwe,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
